# attribute, value, displayName, owner, requestable, SOXRelevant,Privileged,Exclude,en_US
# application=All Fusion Harvest Change Manager,,,,,,,,
memberOf,"CN=RL.App.Harvest.QLV.Approvers,OU=Groups,DC=corp,DC=suntrust,DC=com",Approve Code rl.app.harvest.qlv.approvers,A9SN3,TRUE,TRUE,FALSE,FALSE,Application Approvers used to approve packages to move to all environments: QLV
memberOf,"CN=RL.App.Harvest.QLV.QA.Approvers,OU=Groups,DC=corp,DC=suntrust,DC=com",Approve Code rl.app.harvest.qlv.QA.approvers,A9SN3,TRUE,TRUE,FALSE,FALSE,Application Approvers used to approve packages to move to all environments: QLV QA
memberOf,"CN=RL.App.Harvest.QLV_audit.Approvers,OU=Groups,DC=corp,DC=suntrust,DC=com",Approve Code rl.app.harvest.qlv_audit.approvers,A9SN3,TRUE,TRUE,FALSE,FALSE,Application Approvers used to approve packages to move to all environments: QLV Audit
memberOf,"CN=rl.app.harvest.qlv_cib.approvers,OU=Groups,DC=corp,DC=suntrust,DC=com",Approve Code rl.app.harvest.qlv_cib.approvers,A9SN3,TRUE,TRUE,FALSE,FALSE,Application Approvers used to approve packages to move to all environments: QLV CIB
memberOf,"CN=RL.App.Harvest.QLV_COE.Approvers,OU=Groups,DC=corp,DC=suntrust,DC=com",Approve Code rl.app.harvest.qlv_coe.approvers,A9SN3,TRUE,TRUE,FALSE,FALSE,Application Approvers used to approve packages to move to all environments: QLV COE
memberOf,"CN=RL.App.Harvest.QLV_Consumer.Approvers,OU=Groups,DC=corp,DC=suntrust,DC=com",Approve Code rl.app.harvest.qlv_consumer.approvers,A9SN3,TRUE,TRUE,FALSE,FALSE,Application Approvers used to approve packages to move to all environments: QLV Consumer
memberOf,"CN=RL.App.Harvest.QLV_EIS.Approvers,OU=Groups,DC=corp,DC=suntrust,DC=com",Approve Code rl.app.harvest.qlv_eis.approvers,A9SN3,TRUE,TRUE,FALSE,FALSE,Application Approvers used to approve packages to move to all environments: QLV EIS
memberOf,"CN=RL.App.Harvest.QLV_Finance.Approvers,OU=Groups,DC=corp,DC=suntrust,DC=com",Approve Code rl.app.harvest.qlv_finance.approvers,A9SN3,TRUE,TRUE,FALSE,FALSE,Application Approvers used to approve packages to move to all environments: QLV Finance
memberOf,"CN=RL.App.Harvest.QLV_HR.Approvers,OU=Groups,DC=corp,DC=suntrust,DC=com",Approve Code rl.app.harvest.qlv_hr.approvers,A9SN3,TRUE,TRUE,FALSE,FALSE,Application Approvers used to approve packages to move to all environments: QLV HR
memberOf,"CN=RL.App.Harvest.QLV_Marketing.Approvers,OU=Groups,DC=corp,DC=suntrust,DC=com",Approve Code rl.app.harvest.qlv_marketing.approvers,A9SN3,TRUE,TRUE,FALSE,FALSE,Application Approvers used to approve packages to move to all environments: QLV Marketing
