Role,Profile Description,Profile Filter(s),Profile Application,SoxCritical,Privileged,Owner
DEL35NAM,No Description,'ENTITLEMENT.CONTAINS_ALL({"USR-CAPABILITY-LEVEL 35";"USR-CREDIT-BUREAU-FMT-CD CBR";"USR-DUPL-CLEAR-AUTH-IND";"USR-ST-TRANSITION-OVRD-IND";"USR-ARL-REQ-IND";"USR-CONTROL-TBL-ACCESS-IND I";"USR-CBR-SERVICE-LEVEL 0";"USR-MAX-REQUEST-PRIORITY-LVL 6";"USR-DEALER-TOLER-OVRD-IND";"USR-TYPE U";"USR-OR-DLR-MIN-MAX";"USR-INACTIVE-OVRD-IND B";"USR-SUPERVISOR-FLAG";"USR-MIN-MAX-OVR"})',ACAPS,TRUE,FALSE,ZLP3
DEL40APP,No Description,'ENTITLEMENT.CONTAINS_ALL({"USR-CAPABILITY-LEVEL 40";"USR-CREDIT-BUREAU-REQ-IND";"USR-CREDIT-BUREAU-FMT-CD CBR";"USR-DUPL-CLEAR-AUTH-IND";"USR-TURNDOWN-AUTH-IND";"USR-CBR-SERVICE-LEVEL 0";"USR-MAX-REQUEST-PRIORITY-LVL 6";"USR-TYPE U";"USR-OR-DLR-MIN-MAX";"USR-DOC-PREP-OVRD-IND";"USR-UPD-BDG-ANLYS-IND";"USR-VND-RTE-OVR";"USR-SUPERVISOR-FLAG";"USR-BO-RO-OVERRIDE Y";"USR-ST-TRANSITION-OVRD-IND";"USR-ARL-REQ-IND"})',ACAPS,TRUE,FALSE,ZLP3
TST40RAD,No Description,'ENTITLEMENT.CONTAINS_ALL({"USR-CAPABILITY-LEVEL 40";"USR-CREDIT-BUREAU-REQ-IND";"USR-CREDIT-BUREAU-FMT-CD CBR";"USR-CONTROL-TBL-ACCESS-IND I";"USR-CBR-SERVICE-LEVEL 0";"USR-MAX-REQUEST-PRIORITY-LVL 6";"USR-TYPE U";"USR-SCR-ACCESS-IND";"USR-TEST-ONLY"})',ACAPS,FALSE,FALSE,ZLP3
DEL40INQ,No Description,'ENTITLEMENT.CONTAINS_ALL({"USR-CAPABILITY-LEVEL 40";"USR-CREDIT-BUREAU-FMT-CD CBR";"USR-ARL-REQ-IND";"USR-CBR-SERVICE-LEVEL 0";"USR-MAX-REQUEST-PRIORITY-LVL 6";"USR-TYPE U"})',ACAPS,FALSE,FALSE,ZLP3
DEL40CHM,No Description,'ENTITLEMENT.CONTAINS_ALL({"USR-CAPABILITY-LEVEL 40";"USR-CREDIT-BUREAU-REQ-IND";"USR-CREDIT-BUREAU-FMT-CD CBR";"USR-FRAUD-CLEAR-AUTH-IND";"USR-DUPL-CLEAR-AUTH-IND";"USR-ST-TRANSITION-OVRD-IND";"USR-CREDIT-SCORE-OVRD-IND";"USR-ARL-REQ-IND";"USR-TURNDOWN-AUTH-IND";"USR-CONTROL-TBL-ACCESS-IND I";"USR-CBR-SERVICE-LEVEL 0";"USR-MAX-REQUEST-PRIORITY-LVL 6";"USR-SCORED-RPT-OVRD-IND";"USR-TYPE U";"USR-DOC-PREP-OVRD-IND";"USR-UPD-BDG-ANLYS-IND";"USR-SUPERVISOR-FLAG";"USR-BO-RO-OVERRIDE Y"})',ACAPS,TRUE,FALSE,ZLP3
DEL40WUW,No Description,'ENTITLEMENT.CONTAINS_ALL({"USR-CAPABILITY-LEVEL 40";"USR-CREDIT-BUREAU-REQ-IND";"USR-CREDIT-BUREAU-FMT-CD CBR";"USR-DUPL-CLEAR-AUTH-IND";"USR-ST-TRANSITION-OVRD-IND";"USR-CREDIT-SCORE-OVRD-IND";"USR-ARL-REQ-IND";"USR-TURNDOWN-AUTH-IND";"USR-FRAUD-FILE-ACCESS-IND I";"USR-CBR-SERVICE-LEVEL 0";"USR-MAX-REQUEST-PRIORITY-LVL 6";"USR-TYPE U";"USR-SUPERVISOR-FLAG";"USR-BO-RO-OVERRIDE Y";"USR-SCORED-RPT-OVRD-IND"})',ACAPS,TRUE,FALSE,ZLP3
DEL40CBO,No Description,'ENTITLEMENT.CONTAINS_ALL({"USR-CAPABILITY-LEVEL 40";"USR-CREDIT-BUREAU-REQ-IND";"USR-CREDIT-BUREAU-FMT-CD CBR";"USR-DUPL-CLEAR-AUTH-IND";"USR-ST-TRANSITION-OVRD-IND";"USR-CREDIT-SCORE-OVRD-IND";"USR-ARL-REQ-IND";"USR-TURNDOWN-AUTH-IND";"USR-FRAUD-FILE-ACCESS-IND I";"USR-CONTROL-TBL-ACCESS-IND I";"USR-CBR-SERVICE-LEVEL 0";"USR-MAX-REQUEST-PRIORITY-LVL 6";"USR-SCORED-RPT-OVRD-IND";"USR-OVRD-AUTO-VAL-IND";"USR-TYPE U";"USR-DOC-PREP-OVRD-IND";"USR-INACTIVE-OVRD-IND X";"USR-UPD-BDG-ANLYS-IND";"USR-SCR-ACCESS-IND";"USR-VND-RTE-OVR";"USR-SUPERVISOR-FLAG";"USR-BO-RO-OVERRIDE Y";"USR-MIN-MAX-OVR";"USR-ECD-OVR"})',ACAPS,TRUE,FALSE,ZLP3
DEL40WCL,No Description,'ENTITLEMENT.CONTAINS_ALL({"USR-CAPABILITY-LEVEL 40";"USR-CREDIT-BUREAU-REQ-IND";"USR-CREDIT-BUREAU-FMT-CD CBR";"USR-ST-TRANSITION-OVRD-IND";"USR-CBR-SERVICE-LEVEL 0";"USR-MAX-REQUEST-PRIORITY-LVL 6";"USR-TYPE U";"USR-SUPERVISOR-FLAG"})',ACAPS,TRUE,FALSE,ZLP3
DEL40CC,No Description,'ENTITLEMENT.CONTAINS_ALL({"USR-CAPABILITY-LEVEL 40";"USR-CREDIT-BUREAU-FMT-CD CBR";"USR-ARL-REQ-IND";"USR-CONTROL-TBL-ACCESS-IND I";"USR-CBR-SERVICE-LEVEL 0";"USR-MAX-REQUEST-PRIORITY-LVL 6";"USR-TYPE U"})',ACAPS,FALSE,FALSE,ZLP3
DEL40WLP,No Description,'ENTITLEMENT.CONTAINS_ALL({"USR-CAPABILITY-LEVEL 40";"USR-CREDIT-BUREAU-REQ-IND";"USR-CREDIT-BUREAU-FMT-CD CBR";"USR-DUPL-CLEAR-AUTH-IND";"USR-ST-TRANSITION-OVRD-IND";"USR-CREDIT-SCORE-OVRD-IND";"USR-ARL-REQ-IND";"USR-TURNDOWN-AUTH-IND";"USR-FRAUD-FILE-ACCESS-IND I";"USR-CBR-SERVICE-LEVEL 0";"USR-MAX-REQUEST-PRIORITY-LVL 6";"USR-TYPE U";"USR-SUPERVISOR-FLAG";"USR-SCORED-RPT-OVRD-IND"})',ACAPS,TRUE,FALSE,ZLP3
DEL40COM,No Description,'ENTITLEMENT.CONTAINS_ALL({"USR-CAPABILITY-LEVEL 40";"USR-CREDIT-BUREAU-REQ-IND";"USR-CREDIT-BUREAU-FMT-CD CBR";"USR-ST-TRANSITION-OVRD-IND";"USR-ARL-REQ-IND";"USR-CBR-SERVICE-LEVEL 0";"USR-MAX-REQUEST-PRIORITY-LVL 6";"USR-TYPE U"})',ACAPS,TRUE,FALSE,ZLP3
DEL40BIO,No Description,'ENTITLEMENT.CONTAINS_ALL({"USR-CAPABILITY-LEVEL 40";"USR-CREDIT-BUREAU-REQ-IND";"USR-CREDIT-BUREAU-FMT-CD CBR";"USR-FRAUD-CLEAR-AUTH-IND";"USR-DUPL-CLEAR-AUTH-IND";"USR-ST-TRANSITION-OVRD-IND";"USR-CREDIT-SCORE-OVRD-IND";"USR-ARL-REQ-IND";"USR-TURNDOWN-AUTH-IND";"USR-FRAUD-FILE-ACCESS-IND I";"USR-CONTROL-TBL-ACCESS-IND I";"USR-CBR-SERVICE-LEVEL 0";"USR-MAX-REQUEST-PRIORITY-LVL 6";"USR-SCORED-RPT-OVRD-IND";"USR-OVRD-AUTO-VAL-IND";"USR-TYPE U";"USR-DOC-PREP-OVRD-IND";"USR-INACTIVE-OVRD-IND X";"USR-UPD-BDG-ANLYS-IND";"USR-SCR-ACCESS-IND";"USR-VND-RTE-OVR";"USR-SUPERVISOR-FLAG";"USR-BO-RO-OVERRIDE Y";"USR-TEST-ONLY";"USR-MIN-MAX-OVR";"USR-ECD-OVR";"USR-EMP-QM-OVR";"USR-EMP-INC-ACCESS"})',ACAPS,TRUE,FALSE,ZLP3
